Company Name,Title,Description,Location,Started On,Finished On
Mazak India,Web Development Intern,,"Pune, Maharashtra, India",Jan 2026,
Bajaj Auto Ltd,Project Intern,,"Pune, Maharashtra, India",Jul 2025,Dec 2025
